Date,Open,High,Low,Close,Volume
11/15/2024,"120.40","121.24","119.13","119.31","19,051,711"
11/14/2024,"121.66","121.88","120.33","120.56","13,041,850"
11/13/2024,"120.57","122.05","118.80","121.47","15,127,880"
11/12/2024,"121.13","121.31","119.84","120.35","11,972,800"
11/11/2024,"121.00","121.62","120.07","120.47","11,969,660"
11/08/2024,"120.98","121.42","119.66","121.11","12,835,970"
11/07/2024,"121.30","121.50","119.61","121.15","12,184,430"
11/06/2024,"121.15","121.91","119.30","121.00","20,807,680"
11/05/2024,"119.08","119.21","118.01","118.96","10,436,740"
11/04/2024,"116.07","118.70","115.93","118.61","14,965,430"
11/01/2024,"119.93","119.95","114.84","114.95","20,939,320"
10/31/2024,"117.15","118.67","116.68","116.78","20,511,980"
10/30/2024,"117.66","118.27","116.48","116.69","12,303,740"
10/29/2024,"118.58","119.17","117.07","117.28","14,731,020"
10/28/2024,"116.79","119.01","116.77","118.90","11,844,550"
10/25/2024,"120.20","120.43","119.32","119.49","10,714,580"
10/24/2024,"120.00","120.44","119.13","119.59","9,905,556"
10/23/2024,"119.97","120.75","119.40","120.27","8,320,330"
10/22/2024,"120.26","121.19","119.94","120.70","9,201,408"
10/21/2024,"120.98","121.48","119.72","120.08","10,177,780"
10/18/2024,"120.44","120.64","119.15","120.01","12,898,640"
10/17/2024,"120.76","121.58","119.71","120.35","11,204,860"
10/16/2024,"120.89","121.44","120.60","120.66","8,426,770"
10/15/2024,"120.82","121.95","119.78","120.35","15,771,320"
10/14/2024,"123.24","124.26","122.62","124.08","9,808,122"
10/11/2024,"123.10","124.03","122.94","123.61","8,294,839"
10/10/2024,"123.16","123.70","122.29","123.14","10,243,320"
10/09/2024,"120.90","122.58","120.80","122.09","11,144,860"
10/08/2024,"123.88","124.02","121.26","122.04","14,818,480"
10/07/2024,"125.25","126.34","124.86","125.37","15,714,440"
10/04/2024,"123.20","125.19","122.43","124.83","19,759,211"
10/03/2024,"121.90","123.17","120.93","122.58","16,524,330"
10/02/2024,"121.93","122.82","120.20","121.52","17,129,680"
10/01/2024,"116.04","120.60","115.93","119.93","23,235,881"
09/30/2024,"115.46","117.39","114.96","117.22","13,250,660"
09/27/2024,"113.76","116.09","113.25","115.82","15,963,970"
09/26/2024,"111.14","113.48","111.14","112.80","16,887,910"
09/25/2024,"116.49","117.05","114.04","114.77","13,816,040"
09/24/2024,"117.84","118.16","116.83","117.05","11,984,860"
09/23/2024,"115.33","117.79","115.12","117.36","16,066,290"
09/20/2024,"115.46","115.51","114.25","115.27","36,206,199"
09/19/2024,"116.16","117.58","115.19","116.00","12,660,640"
09/18/2024,"114.11","115.63","113.81","114.58","12,569,930"
09/17/2024,"112.32","114.37","112.12","114.18","12,202,560"
09/16/2024,"112.05","113.09","111.69","112.71","11,729,030"
09/13/2024,"111.47","112.47","110.93","111.15","10,035,390"
09/12/2024,"109.90","111.33","109.76","111.23","15,923,320"
09/11/2024,"110.78","110.95","107.77","109.72","19,571,949"
09/10/2024,"115.10","115.40","110.17","110.82","20,913,410"
09/09/2024,"112.87","116.15","112.66","115.01","21,645,330"
09/06/2024,"113.59","114.18","111.73","112.64","13,467,750"
09/05/2024,"115.07","115.28","113.07","113.17","17,200,770"
09/04/2024,"115.29","116.15","113.98","114.06","12,620,580"
09/03/2024,"115.84","116.09","114.04","115.47","15,723,700"
08/30/2024,"116.79","118.02","116.29","117.94","13,284,690"
08/29/2024,"117.20","118.79","116.35","118.13","10,753,900"
08/28/2024,"117.00","117.58","116.26","116.52","10,742,870"
08/27/2024,"118.96","119.41","117.40","117.68","9,991,631"
08/26/2024,"117.76","118.94","116.92","118.81","13,671,020"
08/23/2024,"115.03","116.72","115.03","116.32","10,381,430"
08/22/2024,"113.78","115.01","113.64","114.73","10,609,500"
08/21/2024,"115.01","115.57","113.76","113.85","11,752,360"
08/20/2024,"118.65","118.65","114.51","114.58","15,631,970"
08/19/2024,"118.40","120.50","118.17","118.53","12,417,470"
08/16/2024,"117.99","118.48","117.66","118.17","10,056,020"
08/15/2024,"118.25","119.63","118.12","118.73","11,579,430"
08/14/2024,"118.10","119.90","117.63","118.95","12,194,520"
08/13/2024,"118.28","118.51","117.50","117.86","11,585,070"
08/12/2024,"119.55","120.17","118.02","119.00","13,228,910"
08/09/2024,"117.89","119.31","117.36","118.85","12,151,870"
08/08/2024,"116.08","118.11","115.73","117.89","13,850,990"
08/07/2024,"115.45","117.12","115.26","115.68","13,660,660"
08/06/2024,"114.45","115.63","113.63","114.16","13,647,780"
08/05/2024,"115.54","116.03","113.25","114.77","18,025,859"
08/02/2024,"115.97","118.87","115.42","116.88","20,403,770"
08/01/2024,"118.35","119.49","116.36","116.95","15,051,480"
07/31/2024,"119.64","119.76","118.56","118.59","15,137,710"
07/30/2024,"116.36","118.60","116.23","118.17","12,483,860"
07/29/2024,"117.32","117.39","115.38","116.10","8,861,806"
07/26/2024,"116.77","118.03","116.47","117.33","11,252,480"
07/25/2024,"115.17","118.03","114.56","117.43","17,021,699"
07/24/2024,"113.77","115.20","113.07","115.01","14,925,180"
07/23/2024,"114.81","115.17","113.17","113.41","11,251,730"
07/22/2024,"115.18","115.94","114.58","115.27","12,065,880"
07/19/2024,"118.59","118.88","115.87","116.07","16,157,710"
07/18/2024,"117.95","119.92","117.44","118.80","13,033,560"
07/17/2024,"116.74","118.18","116.55","117.64","13,602,770"
07/16/2024,"114.35","116.35","113.71","116.04","13,614,050"
07/15/2024,"114.27","116.16","113.58","115.21","13,032,500"
07/12/2024,"113.99","114.15","112.63","113.27","11,684,950"
07/11/2024,"111.43","113.32","110.93","113.25","13,084,880"
07/10/2024,"110.92","111.96","110.42","111.92","10,004,090"
07/09/2024,"111.11","112.54","110.62","110.94","11,729,090"
07/08/2024,"112.39","113.55","111.42","112.18","13,350,550"
07/05/2024,"114.61","114.63","112.69","113.37","12,630,990"
07/03/2024,"114.27","115.66","114.27","114.76","7,732,928"
07/02/2024,"115.90","115.94","113.49","114.18","13,326,700"
07/01/2024,"115.71","116.74","114.53","114.96","11,972,880"
06/28/2024,"115.86","116.54","114.68","115.12","24,565,910"
06/27/2024,"114.99","114.99","114.11","114.90","16,812,730"
06/26/2024,"114.39","114.82","113.14","114.41","15,771,750"
06/25/2024,"114.11","114.55","113.46","114.37","16,213,680"
06/24/2024,"111.64","114.53","111.64","114.05","16,266,690"
06/21/2024,"111.90","112.70","110.76","110.76","52,220,566"
06/20/2024,"109.91","112.62","109.59","111.74","17,433,189"
06/18/2024,"109.03","110.72","108.80","109.38","17,762,920"
06/17/2024,"109.17","109.46","108.18","108.36","21,147,939"
06/14/2024,"110.02","110.21","108.59","109.11","13,313,430"
06/13/2024,"110.84","110.86","109.72","110.04","14,466,870"
06/12/2024,"113.30","113.30","110.54","110.93","13,606,790"
06/11/2024,"112.49","112.67","111.31","112.17","12,462,400"
06/10/2024,"113.06","114.22","112.70","113.08","15,245,230"
06/07/2024,"113.79","114.90","112.67","112.75","13,289,200"
06/06/2024,"112.75","114.04","112.11","113.97","13,154,090"
06/05/2024,"112.89","113.19","111.48","113.12","14,863,520"
06/04/2024,"113.00","113.09","110.92","112.67","19,412,240"
06/03/2024,"116.30","116.36","113.76","114.45","19,589,340"
05/31/2024,"114.12","117.49","113.99","117.26","29,037,381"
05/30/2024,"113.27","114.13","112.96","113.99","14,691,980"
05/29/2024,"114.53","114.55","112.81","113.63","13,902,000"
05/28/2024,"113.52","115.11","113.07","114.86","13,978,310"
05/24/2024,"114.84","115.08","113.04","113.42","12,212,950"
05/23/2024,"115.60","117.51","113.36","113.51","15,979,840"
05/22/2024,"117.46","117.46","114.96","115.48","17,879,250"
05/21/2024,"118.40","119.45","117.78","117.85","14,494,980"
05/20/2024,"119.73","119.89","118.55","118.67","11,551,250"
05/17/2024,"118.30","119.83","117.96","119.64","15,104,470"
05/16/2024,"118.54","119.30","117.54","117.87","15,745,200"
05/15/2024,"117.61","118.84","116.08","118.58","18,244,301"
05/14/2024,"116.79","117.74","116.48","117.67","15,079,130"
05/13/2024,"118.42","119.04","117.12","117.91","15,060,620"
05/10/2024,"118.54","118.66","117.58","117.96","13,648,130"
05/09/2024,"116.20","118.53","116.19","118.44","17,563,980"
05/08/2024,"115.71","116.95","115.41","116.15","18,957,170"
05/07/2024,"117.28","117.58","115.93","116.17","30,121,971"
05/06/2024,"116.67","118.34","116.40","116.75","31,401,260"
05/03/2024,"116.00","116.07","114.13","116.00","28,023,311"
05/02/2024,"116.26","117.26","115.90","116.24","25,513,650"
05/01/2024,"118.28","118.47","115.66","116.03","27,789,760"
04/30/2024,"119.11","120.20","117.98","118.27","21,083,289"
04/29/2024,"117.76","120.05","117.76","119.64","17,343,760"
04/26/2024,"119.00","119.10","116.22","117.96","27,289,471"
04/25/2024,"121.03","121.76","119.40","121.33","16,041,030"
04/24/2024,"120.30","121.26","119.39","121.05","12,101,160"
04/23/2024,"120.00","121.06","119.45","121.03","13,929,820"
04/22/2024,"119.26","121.57","118.43","120.56","16,340,690"
04/19/2024,"119.16","120.93","118.95","119.88","21,572,369"
04/18/2024,"119.00","119.72","117.97","118.52","13,821,360"
04/17/2024,"118.55","119.35","117.12","118.63","14,538,580"
04/16/2024,"119.56","120.22","117.92","118.69","18,082,230"
04/15/2024,"121.09","121.69","119.45","119.68","15,029,530"
04/12/2024,"122.95","123.75","119.67","120.37","21,556,221"
04/11/2024,"122.69","122.69","120.34","121.79","17,555,869"
04/10/2024,"121.22","122.47","120.73","122.20","17,409,180"
04/09/2024,"121.00","121.65","120.34","121.18","14,135,720"
04/08/2024,"121.08","121.74","120.21","120.55","17,513,939"
04/05/2024,"119.98","122.15","119.64","121.37","21,720,590"
04/04/2024,"119.05","119.88","118.64","119.72","18,467,359"
04/03/2024,"119.48","119.75","118.73","119.30","16,504,311"
04/02/2024,"117.92","119.60","117.33","119.28","19,919,641"
04/01/2024,"116.41","117.24","115.38","116.99","13,817,000"
03/28/2024,"115.53","116.45","115.06","116.24","18,482,061"
03/27/2024,"113.48","115.06","113.41","114.97","12,415,670"
03/26/2024,"114.66","114.98","113.41","113.79","13,152,290"
03/25/2024,"113.83","115.78","113.83","114.65","14,011,730"
03/22/2024,"113.48","113.69","112.82","113.49","14,701,930"
03/21/2024,"112.92","113.91","112.57","113.49","14,878,020"
03/20/2024,"112.72","113.40","112.13","112.99","16,119,700"
03/19/2024,"112.22","113.49","112.06","113.09","14,878,760"
03/18/2024,"111.79","112.86","111.10","112.30","16,770,461"
03/15/2024,"110.85","112.30","110.85","111.27","38,264,398"
03/14/2024,"109.83","111.55","109.69","111.47","22,121,010"
03/13/2024,"109.14","110.35","109.11","109.53","17,122,240"
03/12/2024,"109.06","109.28","108.03","108.32","14,957,250"
03/11/2024,"108.25","109.12","107.34","109.02","17,577,289"
03/08/2024,"107.23","108.40","106.77","108.38","16,281,470"
03/07/2024,"106.60","107.98","106.60","107.37","15,195,410"
03/06/2024,"106.62","107.57","106.15","106.77","20,472,789"
03/05/2024,"104.53","106.27","104.32","105.64","19,952,711"
03/04/2024,"105.66","105.85","104.03","104.36","18,137,990"
03/01/2024,"105.72","106.39","105.38","105.84","18,460,119"
02/29/2024,"104.68","105.07","104.22","104.52","17,566,070"
02/28/2024,"104.47","105.43","104.00","104.32","14,810,490"
02/27/2024,"104.68","105.15","103.85","104.03","16,359,980"
02/26/2024,"103.72","104.94","103.05","104.25","13,360,800"
02/23/2024,"103.88","104.09","102.88","103.84","15,975,890"
02/22/2024,"104.16","105.41","103.45","104.76","20,470,670"
02/21/2024,"103.02","104.98","102.99","104.85","20,999,189"
02/20/2024,"103.84","104.12","102.65","102.75","17,650,010"
02/16/2024,"104.01","104.63","103.52","103.73","20,151,430"
02/15/2024,"100.60","103.94","100.60","103.73","23,196,311"
02/14/2024,"101.87","102.62","100.42","100.84","17,651,250"
02/13/2024,"102.76","103.09","100.60","101.34","18,917,430"
02/12/2024,"102.16","103.40","102.00","103.17","18,173,061"
